seq,year,month,ym,origin_ym,q,q_prev,q_prev2,calendar_p,global_p,component_crossed,bic_advantage_2,log_rv_1,log_rv_3,log_rv_12,log_range_var_1,jump_share_1,semivar_imbalance_1,p_global,p_calendar,p_calendar_calibrated,p_persistence,p_markov,p_seasonal_markov,p_logistic,p_cyclic,p_month_pool,p_multiscale,p_cyclic_multiscale,p_month_pool_multiscale,seasonal_strength,logistic_penalty,cyclic_penalty,month_pool_penalty,multiscale_penalty,cyclic_multiscale_penalty,month_pool_multiscale_penalty
85,2014,8,2014-08,2014-07,0.000577334374083322,0.8507561153328491,0.9992644187169987,0.8625450051036865,0.5717321688537493,false,9.00765462122456,-6.553203073397744,-6.612843951293516,-6.089780537555956,-6.626197357433138,0.3999648717067883,0.36995183799499504,0.5717321688537493,0.8625450051036865,0.5718380895105749,0.8507561153328491,0.5656166830420308,0.7634084662026127,0.5158245884485936,0.8736321339403584,0.9259361165191945,0.5546595993812975,0.6922612578193424,0.5923894189495957,2.0,1.0,0.01,1.0,100.0,10.0,100.0
86,2014,9,2014-09,2014-08,0.9999868255092483,0.000577334374083322,0.8507561153328491,0.7631650080244122,0.5570871730978605,false,9.075089862111895,-7.425403369777453,-6.763975806352393,-6.165531232290391,-7.147971541471416,0.28965213566325904,0.12815949326827805,0.5570871730978605,0.7631650080244122,0.516751208805934,0.000577334374083322,0.5399939931388701,0.5408108410385772,0.4251394845734225,0.554695039542879,0.5741162179572311,0.4477943595204688,0.5307151365245999,0.5500137119107189,24.0,0.1,100.0,100.0,10.0,100.0,100.0
87,2014,10,2014-10,2014-09,3.225552152935702e-10,0.9999868255092483,0.000577334374083322,0.47266743083064205,0.5681596644081451,false,10.690794761744883,-7.018109627503405,-6.935818950000418,-6.357165701200297,-6.715509229255202,0.2618090801553428,0.7373505045135952,0.5681596644081451,0.47266743083064205,0.5620031341746392,0.9999868255092483,0.5475067835553008,0.5447345256845254,0.5619221161680887,0.5561204370314318,0.5497568964612661,0.5559564513572921,0.5524820455286696,0.5465010546422752,24.0,100.0,100.0,100.0,100.0,100.0,100.0
88,2014,11,2014-11,2014-10,0.5112865521854315,3.225552152935702e-10,0.9999868255092483,0.37820874957333506,0.5543021116255699,false,12.791746309624273,-6.330719884053194,-6.820908516407791,-6.4569246949890955,-6.315945748531958,0.26591942419761533,0.4192492895072409,0.5543021116255699,0.37820874957333506,0.5488720347804363,1e-6,0.565855220981043,0.5645387003180466,0.6023685090574141,0.5356922941335874,0.5245989525743544,0.5480143940242667,0.5400250477804747,0.5286970851056705,24.0,1.0,100.0,100.0,100.0,100.0,100.0
89,2014,12,2014-12,2014-11,0.014115988438069984,0.5112865521854315,3.225552152935702e-10,0.6646488588619751,0.5532779316388998,false,13.997426853267768,-5.662761097060979,-6.190048385610556,-6.359120892260934,-5.8230684613355965,0.27984191401302,0.04767779698127872,0.5532779316388998,0.6646488588619751,0.5401079146660684,0.5112865521854315,0.5430010606794018,0.5522290678018975,0.6000975459737334,0.544920967471554,0.5604810317075527,0.6677557762237074,0.5631933752559636,0.5782518616908001,24.0,0.1,100.0,100.0,10.0,100.0,100.0
90,2015,1,2015-01,2014-12,0.9948596947264653,0.014115988438069984,0.5112865521854315,0.5557418870633433,0.54073928179702,false,14.071068823402015,-5.46181256474927,-5.755126417765354,-6.3230465228154165,-5.442771997678579,0.33609667169856977,0.279329800045228,0.54073928179702,0.5557418870633433,0.5295185679227519,0.014115988438069984,0.5485146941224001,0.5503882247145431,0.5315737785256084,0.5356475801026334,0.53486575290452,0.5471152173727293,0.5524520173853771,0.5513225564074161,24.0,100.0,100.0,100.0,100.0,100.0,100.0
91,2015,2,2015-02,2015-01,0.9991330096616025,0.9948596947264653,0.014115988438069984,0.6240037942465966,0.5510602002726892,false,12.953520804437517,-5.852819750747496,-5.646404767794592,-6.283664433406962,-5.931935415727207,0.2534184862288906,0.5243399797299638,0.5510602002726892,0.6240037942465966,0.5365670772821645,0.9948596947264653,0.513535179211426,0.5074047901720353,0.5594572400421977,0.5443318769176126,0.5540505233187388,0.6132095317248619,0.552837844949394,0.5628131585776524,24.0,0.1,100.0,100.0,10.0,100.0,100.0
92,2015,3,2015-03,2015-02,2.958852243479952e-13,0.9991330096616025,0.9948596947264653,0.33928069870327804,0.5610173738146652,false,14.030508456041218,-6.524265110663539,-5.856346413247749,-6.279946884124496,-6.298138406444646,0.41737323642530394,0.788087178386785,0.5610173738146652,0.33928069870327804,0.5599126381677892,0.9991330096616025,0.5328064417122879,0.5216485872728551,0.48093229997257386,0.5394605598476897,0.5247666527552873,0.6063768826057394,0.5352035641935,0.5212560680779404,24.0,0.01,100.0,100.0,1.0,100.0,100.0
93,2015,4,2015-04,2015-03,0.0007091490585026712,2.958852243479952e-13,0.9991330096616025,0.12511505775841103,0.5488213439491354,false,16.690523596351795,-6.551147371385198,-6.254100631662071,-6.310911215598525,-6.284272814267741,0.47620668121332,0.34438998734874005,0.5488213439491354,0.12511505775841103,0.5276802026872016,1e-6,0.5708158760205679,0.5240312943615575,0.6191126647371776,0.5084093208428756,0.48282493579422997,0.5666097880903885,0.42785401783632737,0.31475436741801954,24.0,0.01,100.0,100.0,10.0,10.0,10.0
94,2015,5,2015-05,2015-04,0.000013155385091923016,0.0007091490585026712,2.958852243479952e-13,0.5614917047302759,0.5371593823557176,false,16.789592880411988,-6.228428192337423,-6.423597559541537,-6.267648946406508,-6.432081313101612,0.1856139686756719,0.11576239604200322,0.5371593823557176,0.5614917047302759,0.5331699022591523,0.0007091490585026712,0.5439700304104055,0.5515539585831324,0.5312246208927268,0.3998872338409857,0.5572889773744626,0.5825091799752512,0.4558798993188511,0.5874573965568055,12.0,100.0,10.0,10.0,10.0,10.0,10.0
95,2015,6,2015-06,2015-05,0.00022247459443378316,0.000013155385091923016,0.0007091490585026712,0.624741257979398,0.5259688359604963,false,17.168528261433153,-6.81833601871805,-6.503498760120673,-6.270619711850247,-6.784905151125783,0.3012647892044101,0.02796560190046608,0.5259688359604963,0.624741257979398,0.5302893112061692,0.000013155385091923016,0.5195652237225977,0.5381430028934318,0.5207107811807541,0.519026499869636,0.5327027177754967,0.5105965312137297,0.5430841844831893,0.5213585778353362,24.0,100.0,100.0,100.0,10.0,10.0,100.0
96,2015,7,2015-07,2015-06,0.9997961484364821,0.00022247459443378316,0.000013155385091923016,0.667876920988212,0.5152393183815971,false,17.798941696594795,-7.289729125676044,-6.684984631594279,-6.304680388079511,-6.827885422326011,0.2757152571861832,0.08905267534787893,0.5152393183815971,0.667876920988212,0.5219752409131346,0.00022247459443378316,0.4972349514576137,0.47742404553033035,0.5075163793236335,0.5323818179089348,0.5172934691268741,0.43746103938575637,0.5065676543304148,0.4903142835634603,24.0,100.0,100.0,100.0,10.0,100.0,100.0
97,2015,8,2015-08,2015-07,0.9790332294783715,0.9997961484364821,0.00022247459443378316,0.6901514709577659,0.5249304549826947,false,19.08574558778929,-6.339825559027727,-6.7420538605534475,-6.289339244052161,-5.9923944039939805,0.6452188000358313,0.8338695350732299,0.5249304549826947,0.6901514709577659,0.540118468595567,0.9997961484364821,0.5120888016658152,0.5308291165102841,0.5724922475566556,0.5506025531820776,0.5412189212579013,0.43154247717355404,0.6431305716787092,0.5303453998001898,24.0,0.01,100.0,100.0,1.0,10.0,100.0
98,2015,9,2015-09,2015-08,3.442497159212815e-12,0.9790332294783715,0.9997961484364821,0.8105293715213794,0.5338344309531982,false,20.1934708846656,-6.561370882263271,-6.655423489662679,-6.253268527955244,-6.2914929198251555,0.17780275533724613,0.2781408240378125,0.5338344309531982,0.8105293715213794,0.5831098049161548,0.9790332294783715,0.5292992277991634,0.5640332447519092,0.5368739796946954,0.6062398581495284,0.5674038115072205,0.4973805830458278,0.579978290708888,0.6992008021957494,24.0,0.01,10.0,100.0,10.0,10.0,10.0
99,2015,10,2015-10,2015-09,7.192742809356437e-7,3.442497159212815e-12,0.9790332294783715,0.3781339447290247,0.5235683842041644,false,22.0350168901374,-6.5121004971793734,-6.466512876322454,-6.228043955633352,-6.577718280613431,0.291494101160112,0.08365392247650694,0.5235683842041644,0.3781339447290247,0.4983680308142345,1e-6,0.5175050495469027,0.5107629400915257,0.47881323895774014,0.5019318941047627,0.4944699721375896,0.46079534272745526,0.48584357462252803,0.47703628805664006,24.0,0.01,100.0,100.0,1.0,100.0,100.0
100,2015,11,2015-11,2015-10,0.9999995313135775,7.192742809356437e-7,3.442497159212815e-12,0.40482431009575437,0.5136897490168081,false,23.314355596402095,-6.553388247510702,-6.542052380640083,-6.243169500317246,-6.307618703626132,0.3399624662068071,0.510337090356032,0.5136897490168081,0.40482431009575437,0.48669063465257545,1e-6,0.49702966030742524,0.5004609479213072,0.5764557123292238,0.4244350409833984,0.43202188684053544,0.5074816258282429,0.4465486700148967,0.462906668039492,24.0,0.01,10.0,10.0,10.0,10.0,10.0
101,2015,12,2015-12,2015-11,4.093100708131248e-8,0.9999995313135775,7.192742809356437e-7,0.5345422847771941,0.5226954857260077,false,25.713551324316143,-6.8160003896823405,-6.618391922264393,-6.350647185317276,-6.563534676587668,0.17687655345909997,0.6425976529513778,0.5226954857260077,0.5345422847771941,0.5138795805018876,0.999999,0.5108432701797052,0.49304483464406734,0.5488514575112861,0.5219134995106929,0.5175282308791807,0.5105188202150328,0.40571343729818266,0.4484219008972131,24.0,0.01,100.0,100.0,1.0,1.0,0.1
102,2016,1,2016-01,2015-12,0.9607445016909563,4.093100708131248e-8,0.9999995313135775,0.6435654485959678,0.5131919321842803,false,25.818783148216255,-6.156877847551171,-6.471603053781006,-6.457720016626413,-6.31340052988918,0.2157591967033935,0.025374042345955878,0.5131919321842803,0.6435654485959678,0.5158740550320228,1e-6,0.5161725584289573,0.5372862722705181,0.4980809889825047,0.5226313585871917,0.5261505370925738,0.4773746292837301,0.6100804827580367,0.5911073639145833,24.0,0.01,100.0,100.0,10.0,10.0,10.0
103,2016,2,2016-02,2016-01,0.9993696781095817,0.9607445016909563,4.093100708131248e-8,0.6990296373295977,0.5211839423540424,false,24.15973021337919,-6.48291502377043,-6.449423549303914,-6.531720929004153,-6.44008470330388,0.14568296064421504,0.4038438707370239,0.5211839423540424,0.6990296373295977,0.5341739571028169,0.9607445016909563,0.4946068660931806,0.5090834541190244,0.6131653580285978,0.563750564170819,0.6500423097347828,0.5336310394829616,0.5662668238889985,0.648715045820387,24.0,0.01,10.0,10.0,10.0,10.0,10.0
104,2016,3,2016-03,2016-02,0.0723900445187329,0.9993696781095817,0.9607445016909563,0.2714245589626816,0.5295731657883501,false,24.614917581131976,-5.47916495072177,-5.9495529452189775,-6.387802356772795,-5.517050085943294,0.3955845413430518,0.5446041623439006,0.5295731657883501,0.2714245589626816,0.4764704975931207,0.9993696781095817,0.5094604591244248,0.48159825779420584,0.3929350080363449,0.4299101175259733,0.33984133064099237,0.5810409172908053,0.47729208341592694,0.389567881019272,24.0,0.01,10.0,10.0,1.0,10.0,10.0
105,2016,4,2016-04,2016-03,0.16520087338946796,0.0723900445187329,0.9993696781095817,0.10023387601842937,0.5216906981802533,false,25.21135204160339,-5.796436254375756,-5.838397623314161,-6.311060752149584,-5.809717871826386,0.18938321315111262,0.0648814425863701,0.5216906981802533,0.10023387601842937,0.3963906184258157,0.0723900445187329,0.5303877696670602,0.35599451656284253,0.3065422064401484,0.29965367757176903,0.21898985446869693,0.464109994491695,0.10373195014494216,0.0036005237010220434,6.0,0.01,10.0,10.0,1.0,1.0,0.1
106,2016,5,2016-05,2016-04,0.9997352632976279,0.16520087338946796,0.0723900445187329,0.449195994861239,0.5156484977600704,false,21.306837587076075,-6.141043698537219,-5.769510836464251,-6.302829520009395,-6.224695680974,0.20851760208655823,0.4502103345752144,0.5156484977600704,0.449195994861239,0.4882475740399958,0.16520087338946796,0.5166515872589935,0.4884267208226916,0.5235467733196593,0.33738160222862906,0.46391673298848607,0.6464238662620972,0.2709959645287676,0.4614229914342114,6.0,0.01,10.0,10.0,1.0,1.0,10.0
107,2016,6,2016-06,2016-05,0.9919889627894894,0.9997352632976279,0.16520087338946796,0.49983750130240506,0.5237166105190297,false,22.278628229521246,-6.4838854496747445,-6.1014428450033575,-6.283256440924782,-6.472063927473949,0.23318620027375547,0.6085940462630529,0.5237166105190297,0.49983750130240506,0.5102719596425598,0.9997352632976279,0.49714425446990085,0.4975416562248998,0.5327168409797561,0.5227594461750795,0.5056339018690424,0.5990933937734089,0.520103611849421,0.4873947934661479,24.0,0.01,100.0,10.0,1.0,100.0,10.0
108,2016,7,2016-07,2016-06,0.013245601182714164,0.9919889627894894,0.9997352632976279,0.7231967922295904,0.5313932064578898,false,22.496763046874207,-5.480764130677663,-5.946276621829049,-6.138752958770462,-5.545505885528287,0.5099969047378495,0.7030145585096943,0.5313932064578898,0.7231967922295904,0.5741430766776657,0.9919889627894894,0.5128092473223429,0.5437924952606903,0.4766455543850732,0.7071372197734116,0.6361412156933812,0.5249983055914389,0.8042607739131522,0.6736926497251641,24.0,0.01,10.0,10.0,1.0,1.0,10.0
