model,n,brier,log_loss,hard_agreement,mean_pred,mean_realized,calibration_intercept,calibration_slope,calibration_ece_3bin,brier_diff_vs_calendar,brier_diff_ci95_lo,brier_diff_ci95_hi,mcs_included,selected,regime_diagnostics_pass
global,145,0.25364636275515,0.7004635974898664,0.4482758620689655,0.5069867853313548,0.4779035118513852,0.021672756871111948,-4.108847146642223,0.029083273479969585,-0.003206093769301094,-0.02927955857683709,0.024378443271221743,true,false,true
calendar,145,0.25685245652445116,0.7162640522513293,0.5862068965517241,0.5071062477590235,0.4779035118513852,-0.09143292782899629,0.35590341246582596,0.07750151601122966,0.0,0.0,0.0,true,true,true
calendar_calibrated,145,0.2501498117507723,0.6940259400514137,0.5517241379310345,0.4949882282387885,0.4779035118513852,-0.07857059384296572,0.4484344270688282,0.029791923788180037,-0.006702644773678857,-0.024708008338729985,0.011089991804492768,true,false,true
persistence,145,0.46268560826908023,3.697551872918884,0.4896551724137931,0.4769368668104263,0.4779035118513852,-0.11823150847734115,-0.020274496377546292,0.4292662389843045,0.20583315174462916,0.15428973771565316,0.2596725068087463,false,false,true
markov,145,0.2550382896187813,0.703248796874294,0.4413793103448276,0.5018671556464162,0.4779035118513852,-0.05756198980741656,-5.93038028197954,0.023963643795030964,-0.0018141669056698252,-0.028165912531864692,0.026260130414932473,true,false,true
seasonal_markov,145,0.25006012879900413,0.6932658021269555,0.5724137931034483,0.5020901608518563,0.4779035118513852,-0.09266285562618666,0.4944399988890234,0.026997290581315943,-0.006792327725446998,-0.027053433735985573,0.013079022923425077,true,false,true
logistic,145,0.24942884419752456,0.6921113718941074,0.46206896551724136,0.5002857110960613,0.4779035118513852,-0.0896038036451244,0.5765232344302397,0.022382199244676076,-0.007423612326926588,-0.028590017657931354,0.013879205127405436,true,false,true
cyclic,145,0.24889435097468737,0.6937344240237584,0.5724137931034483,0.5044985763673572,0.4779035118513852,-0.09948811420389733,0.48591289029217166,0.026595064515972162,-0.007958105549763764,-0.026947641213421577,0.010600627079558524,true,false,true
month_pool,145,0.2483789235923027,0.6950672326869589,0.5862068965517241,0.5011024303430308,0.4779035118513852,-0.09049783553254862,0.4423230967353048,0.02319891849164555,-0.00847353293214843,-0.02391113961749554,0.006562402976257408,true,false,true
multiscale,145,0.25335217007323346,0.699871512444252,0.496551724137931,0.4977792631001183,0.4779035118513852,-0.08883111346458279,-0.04733418630952057,0.01987575124873319,-0.0035002864512177303,-0.029708127192026805,0.02347885576216497,true,false,true
cyclic_multiscale,145,0.2539766931178685,0.702640425040818,0.6,0.4966125316157676,0.4779035118513852,-0.08006888769086339,0.373654431749399,0.06487484590680725,-0.002875763406582647,-0.024336764805554894,0.021120262033481704,true,false,true
month_pool_multiscale,145,0.25631864500665197,0.7166449232416726,0.5655172413793104,0.497409830946796,0.4779035118513852,-0.07764785144317969,0.2508958110809505,0.048289195485364804,-0.0005338115177991355,-0.017193074118806207,0.01467795651905429,true,false,true
