month,month_name,n,p_trend_raw,p_trend,p_sideways,std,ci95_lo,ci95_hi,q_min,q_max
1,Jan,19,0.6299420062569342,0.6234449059440875,0.3765550940559125,0.4669341990002683,0.41348568415558495,0.8334041277325901,0.00003446860674365555,0.9999988370315579
2,Feb,19,0.688073120944764,0.6786694648975258,0.3213305351024742,0.4322385578609037,0.48431130601825334,0.8730276237767982,2.020598445130651e-6,0.999978601324725
3,Mar,19,0.31225802934416985,0.32164512787696137,0.6783548721230386,0.4214104241270097,0.13215589172182826,0.5111343640320944,3.503790647274428e-8,0.9999978690508428
4,Apr,19,0.24420728107691,0.2569969170230645,0.7430030829769355,0.3926081847944525,0.08045874714017595,0.433535086905953,7.84160318124801e-8,0.9999990229900021
5,May,19,0.3944160529753171,0.3996952503265513,0.6003047496734487,0.4354597858590304,0.20388865069237574,0.5955018499607269,1.2062716495584992e-6,0.9999986142765993
6,Jun,20,0.632293378154805,0.6259936934807667,0.3740063065192333,0.4272156734416003,0.43875816925448785,0.8132292177070456,0.000020726252740557474,0.9999957130957987
7,Jul,20,0.5148520911391837,0.5141448487039845,0.48585515129601553,0.43056668241782675,0.325440680040351,0.702849017367618,1.086194497112319e-6,0.9999999221066228
8,Aug,20,0.5278144579469681,0.5264899599494934,0.47351004005050656,0.48544829075347523,0.3137328659230662,0.7392470539759206,2.0626303331489217e-6,0.9999967222488945
9,Sep,20,0.596243984214299,0.5916609373469515,0.40833906265304853,0.46047303063143324,0.38984973368069487,0.7934721410132081,1.7916367022466402e-8,0.9999999717763033
10,Oct,19,0.4188318588537879,0.4228902659110985,0.5771097340889015,0.4530663050035683,0.21916680975644046,0.6266137220657566,1.2136021467639234e-6,0.9994260644010589
11,Nov,19,0.44087425122922075,0.44383053866775973,0.5561694613322403,0.42997699675312323,0.25048930168290706,0.6371717756526124,2.4869132989136685e-7,0.9999999548096782
12,Dec,19,0.616263596957159,0.6104504171093011,0.38954958289069885,0.44109369723417485,0.41211050196625226,0.80879033225235,2.3573743513110164e-6,0.9999589430171346
